,words,sentiment_vector
2832,orleans,"[0.8787881463433086, 0.477209951181224, 0.0014339944579800869, 0.0, 0.0, 0.0]"
2833,map,"[0.5932926398110742, 0.2817427797633554, 0.20020581831024045, 0.7240235938854733, 0.06582032671686121, 0.0]"
2834,sales,"[0.9966541983190957, 0.08173376886526508, 0.0, 0.0, 0.0, 0.0]"
2835,messing,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2836,skills,"[0.3205706230443376, 0.9472246173115251, 0.0, 0.0, 0.0, 0.0]"
2837,login,"[0.5470131820304365, 0.3505957522976317, 0.7601705053182438, 0.0, 0.0, 0.0]"
2838,bahamas,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2839,officer,"[0.10245004141178082, 0.08918685791229579, 0.3933014286387287, 0.4884834129594859, 0.766973034000964, 0.0]"
2840,inches,"[0.4197885478202158, 0.8771670427983314, 0.23314277631405297, 0.0, 0.0, 0.0]"
2841,porn,"[0.1738137418604881, 0.7513901278826524, 0.23641041428164764, 0.5910260357041192, 0.0, 0.0]"
2842,#aviation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2843,consideration,"[0.646494581351318, 0.5637314470097922, 0.2835110061308412, 0.42605666254094965, 0.04846484955898749, 0.0]"
2844,brothers,"[0.3249754412117078, 0.6582433357688527, 0.6790483587530046, 0.0, 0.0, 0.0]"
2845,walking,"[0.08512859897865492, 0.15349649949102695, 0.9844754675866395, 0.0, 0.0, 0.0]"
2846,bankrupt,"[0.19496589468341266, -0.9808100223337323, 0.0, 0.0, 0.0, 0.0]"
2847,armrest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2848,marks,"[0.4400980304407131, 0.18931461182630832, 0.16685188204393459, 0.023498300366155234, 0.861441803425837, 0.0]"
2849,folder,"[0.8857387377575748, 0.04108762319763006, 0.003435836954834579, 0.4615417006016259, 0.027315733300912557, 0.0]"
2850,darn,"[0.40735084310941694, 0.32110349609579586, 0.2565620516976377, 0.11748214175822447, -0.8070512346869333, 0.0]"
2851,clarification,"[0.9937622508672875, -0.11151945458610457, 0.0, 0.0, 0.0, 0.0]"
2852,embarrassed,"[0.7660993759385866, 0.12245239948750448, -0.17702357751997932, -0.605606975726245, 0.0, 0.0]"
2853,transport,"[0.5941070979399554, 0.46251427951561297, 0.6545586984492074, 0.06833891794575739, 0.0, 0.0]"
2854,visa,"[0.6002995484099022, 0.5663847817546094, 0.5619023047615604, 0.05580798401033186, 0.0, 0.0]"
2855,recording,"[0.6839051478357042, 0.254105205567048, 0.661595522625557, 0.1731925451899364, 0.0, 0.0]"
2856,repeat,"[0.25110030413962914, 0.07761544641600425, 0.1839809325016096, 0.941851987300553, 0.09995163946863012, 0.0]"
2857,lavatory,"[0.5557055929241902, 0.8313791517669746, 0.0, 0.0, 0.0, 0.0]"
2858,necessary,"[0.4816773954014837, 0.12015232464263091, 0.8571703084210657, 0.13714724934737052, 0.0, 0.0]"
2859,wind,"[0.09433765716065795, 0.6806813915416012, 0.3417727354575781, 0.6410652439091296, 0.0, 0.0]"
2860,tray,"[0.03669170598243077, 0.6892845852426219, 0.40152817724987266, 0.6019265753672953, 0.0, 0.0]"
2861,table,"[0.09069216001936936, 0.35964340237212045, 0.20337743327450938, 0.9032533225200748, 0.07212912194352684, 0.0]"
2862,#chicago,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2863,box,"[0.1756325354702429, 0.12195195521803859, 0.9742092950106435, 0.07209148783078762, 0.0, 0.0]"
2864,charity,"[0.0026232293343944795, 0.22800571547345136, 0.12668365166792658, 0.38003151236116617, 0.6210625735122556, 0.633888865791313]"
2865,[,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2866,],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2867,#miami,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2868,annual,"[0.5380373949691625, 0.004269599469980982, 0.27308562967634775, 0.48915282199152443, 0.38997863293438717, 0.4945381214747663]"
2869,cleared,"[0.10917826619236332, 0.9921449095067086, 0.061062138278596884, 0.0, 0.0, 0.0]"
2870,praying,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2871,sept,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2872,magic,"[0.1287840164484348, 0.5343704105563103, 0.5890053359731688, 0.5923982238531986, 0.0, 0.0]"
2873,selling,"[0.9444663659783379, 0.3286081002283299, 0.0, 0.0, 0.0, 0.0]"
2874,admiral,"[0.7155338455043462, 0.6985780671748594, 0.0, 0.0, 0.0, 0.0]"
2875,downgrade,"[0.9931758662270044, -0.11662632097532505, 0.0, 0.0, 0.0, 0.0]"
2876,#customerservicefail,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2877,incoming,"[0.6459422414661738, -0.7633862853691146, 0.0, 0.0, 0.0, 0.0]"
2878,woo,"[0.048048654223543166, 0.18199216621141195, 0.6002292069582704, 0.41364048322175045, 0.370099379724724, 0.5442637937128295]"
2879,smiling,"[0.019028711578152502, 0.787963434949906, 0.5077266375472453, 0.3478005101241069, 0.0, 0.0]"
2880,admit,"[0.7797830678855784, 0.05104238001446647, 0.3331466485475857, 0.5275853988151357, 0.0, 0.0]"
2881,promotions,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2882,#dobetter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2883,#custserv,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2884,owe,"[0.9240544422499607, 0.05563102255247743, 0.3750354191656491, 0.04875460449153438, 0.0, 0.0]"
2885,messaged,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2886,timed,"[0.9989927064746922, 0.044872847139105776, 0.0, 0.0, 0.0, 0.0]"
2887,#furious,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2888,selection,"[0.6646293537437971, 0.0712759742310437, 0.19558877291076018, 0.6928917855132836, 0.18663751798337608, 0.0]"
2889,follows,"[0.2891906578837917, 0.9572715202035104, 0.0, 0.0, 0.0, 0.0]"
2890,mission,"[0.2764182607692365, 0.17228469284819475, 0.37647218393512294, 0.1762646983328352, 0.6063779326364102, 0.5944881692513825]"
2891,august,"[0.30920179233434314, 0.753373154415048, 0.15110991521002576, 0.5603471560998311, 0.0, 0.0]"
2892,pref,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2893,oscar,"[0.8926463979746879, 0.2262059168551076, 0.3898888192325539, 0.0, 0.0, 0.0]"
2894,communications,"[0.8724441165655478, 0.48871388712636415, 0.0, 0.0, 0.0, 0.0]"
2895,laugh,"[0.36917812279915774, 0.6087038422818261, 0.45590675534169417, 0.5341686779207862, 0.0, 0.0]"
2896,february,"[0.7720113581497268, 0.5094456788466779, 0.38008362657744393, 0.0, 0.0, 0.0]"
2897,yourselves,"[0.06739743028646868, 0.9977262081306577, 0.0, 0.0, 0.0, 0.0]"
2898,toilet,"[0.9158718898744626, 0.39931359491800017, 0.04156121089962859, 0.0, 0.0, 0.0]"
2899,packed,"[0.9996823138367783, 0.025204590890254275, 0.0, 0.0, 0.0, 0.0]"
2900,content,"[0.22720305631984175, 0.6976906611725475, 0.42146131513347523, 0.5328948042132684, 0.0, 0.0]"
2901,screens,"[0.7599934860662969, 0.6499306894868078, 0.0, 0.0, 0.0, 0.0]"
2902,odd,"[0.7696222687950555, 0.16116014250458646, 0.10109588972322353, 0.2721074533699949, 0.5108983241075932, 0.1908639022137801]"
2903,omaha,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2904,crackers,"[0.0846918941382968, 0.9890173571768134, 0.019364602246509717, 0.11956990612229117, 0.0, 0.0]"
2905,died,"[0.794286816495869, 0.014078340346185278, -0.6073798263639935, 0.0, 0.0, 0.0]"
2906,feed,"[0.06279727475181211, 0.34771646910929144, 0.3219371012389459, 0.8762728807797953, 0.06043261246757209, 0.0]"
2907,lives,"[0.376681369797449, 0.5250940483580684, 0.28089631122445535, 0.7095665214530249, 0.0, 0.0]"
2908,hits,"[0.6448110711316692, 0.7643419931850071, 0.0, 0.0, 0.0, 0.0]"
2909,dang,"[0.35373885657372034, 0.935344226127428, 0.0, 0.0, 0.0, 0.0]"
2910,clubs,"[0.7555671845834895, 0.004395759541302661, 0.3905751102487374, 0.5258802051159759, 0.0, 0.0]"
2911,benefit,"[0.1857315079706238, 0.33655405553597834, 0.32810884784917727, 0.8508432580806014, 0.14368545086791612, 0.0]"
2912,#greatservice,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2913,staying,"[0.05555339810011401, 0.9108277442987535, 0.4090313437564103, 0.0, 0.0, 0.0]"
2914,theres,"[0.47842330100732544, 0.8781293441476911, 0.0, 0.0, 0.0, 0.0]"
2915,thousands,"[0.9043383057792322, 0.42681638757239376, 0.0, 0.0, 0.0, 0.0]"
2916,speedy,"[0.9919073083234756, 0.1269641354654049, 0.0, 0.0, 0.0, 0.0]"
2917,boat,"[0.33886031021291035, 0.6025844966270547, 0.7214026634663236, 0.0405439481405492, 0.0, 0.0]"
2918,dime,"[0.14982526362890747, 0.35157575037423916, 0.5260864358247817, 0.7597235972171043, 0.0, 0.0]"
2919,hitting,"[0.8278226440401282, 0.17294904698700192, 0.5336649671476468, 0.0, 0.0, 0.0]"
2920,wanting,"[0.3034846585626161, 0.14395332638715463, 0.6444189173206766, -0.01356671404885635, -0.6868148987233528, 0.0]"
2921,ivr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2922,rule,"[0.18164456920553762, 0.33664649911489003, 0.04941648086740932, 0.9060327021174688, 0.17417559881976033, 0.0]"
2923,injury,"[0.2748970089606145, 0.20293476166701135, 0.4215046040671287, 0.25976495978420655, 0.07948504756267952, -0.7948504756267951]"
2924,parking,"[0.6218730841832898, 0.7831180416567881, 0.0, 0.0, 0.0, 0.0]"
2925,sites,"[0.6107907496133831, 0.7747531868031435, 0.16337735377063348, 0.0, 0.0, 0.0]"
2926,personally,"[0.2741057244297567, 0.3936800055587562, 0.33627954687627876, 0.8104308554162907, 0.0, 0.0]"
2927,hopeful,"[0.5292736705728094, 0.8240819217108228, 0.201887017779209, 0.0, 0.0, 0.0]"
2928,antonio,"[0.6925934432762497, 0.08657430390666933, 0.6721521128648679, 0.24704402321270114, 0.0, 0.0]"
2929,#passbook,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2930,heavily,"[0.2341880289259463, 0.2905640276005166, 0.020598593739340153, 0.04345408700699907, 0.47798037324864023, -0.7936943467228342]"
2931,offices,"[0.5471122228587146, 0.7490070185209793, 0.01023476321573076, 0.37356652878279584, 0.0, 0.0]"
2932,pussy,"[0.615422207773897, 0.26756446547226626, 0.741393797516032, 0.0, 0.0, 0.0]"
2933,loves,"[0.4375353614591735, 0.038808002018535404, 0.2509603024314949, 0.017401715826273784, 0.8624226651369465, 0.0]"
2934,harbor,"[0.34675763876548865, 0.809583525926768, 0.4730358221642208, -0.02389069808910206, 0.0, 0.0]"
2935,conflicting,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2936,scheduling,"[0.5385808167781148, 0.44238524135552004, 0.7170955320105106, 0.0, 0.0, 0.0]"
2937,:smirking_face:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2938,photos,"[0.5844035658280791, 0.11500070221002585, 0.8032728743948889, 0.0, 0.0, 0.0]"
2939,greenville,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2940,indy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2941,november,"[0.42489094020795526, 0.7040766988649262, 0.18382484165176244, 0.3107259225967322, 0.4397743963247314, 0.0]"
2942,northeast,"[0.9364293380900514, 0.3508562309040956, 0.0, 0.0, 0.0, 0.0]"
2943,Come,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2944,loose,"[0.27052369428003814, 0.6094816535552071, 0.7434082754054807, -0.05189586564785206, 0.0, 0.0]"
2945,ticketing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2946,#bna,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2947,louisville,"[0.3135056723026161, 0.9303246857088847, 0.19028970701209677, 0.0, 0.0, 0.0]"
2948,lunch,"[0.2690888063664629, 0.10463160553528902, 0.9131810242199313, 0.2760297186846611, 0.08094104532858483, 0.0]"
2949,anxious,"[0.15914697786738616, 0.8771544304458772, 0.15712091527886085, -0.42495336516702575, 0.0, 0.0]"
2950,inclement,"[0.2719570052259476, -0.9623094031071993, 0.0, 0.0, 0.0, 0.0]"
2951,gary,"[0.18438994983012197, 0.5505564282779567, 0.8141793203486959, 0.0, 0.0, 0.0]"
2952,printed,"[0.5484730024205086, 0.6960643010289794, 0.46332694120768675, 0.0, 0.0, 0.0]"
2953,partnership,"[0.9806286316894257, 0.19587620251302776, 0.0, 0.0, 0.0, 0.0]"
2954,utah,"[0.771736455896572, 0.6359424837516348, 0.0, 0.0, 0.0, 0.0]"
2955,responsive,"[0.7219882051154242, 0.6919053632356148, 0.0, 0.0, 0.0, 0.0]"
2956,#thanks,"[0.3396243972893792, 0.33896950651464103, 0.8773567931115861, 0.0, 0.0, 0.0]"
2957,pwm,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2958,park,"[0.620208912127465, 0.7807111804797267, 0.0602754955517436, 0.04688094098468947, 0.0, 0.0]"
2959,airplanes,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2960,aviation,"[0.9983274443929288, 0.05781274748603119, 0.0, 0.0, 0.0, 0.0]"
2961,anticipate,"[0.7600478996032298, 0.35782191574000416, 0.5424856375286559, 0.0, 0.0, 0.0]"
2962,lead,"[0.02280837219501426, 0.050326392762592646, 0.3481984959144172, 0.390234514521683, 0.8505420997624298, 0.0]"
2963,costa,"[0.7077332993367911, 0.7064797074296332, 0.0, 0.0, 0.0, 0.0]"
2964,rica,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2965,gain,"[0.7157949229749836, 0.007805855173036612, 0.5104346908563145, 0.4764799295234517, 0.0, 0.0]"
2966,unlike,"[0.08661014093987439, 0.1859809770691891, 0.07582738949510476, 0.24488141382774392, 0.9445597174445075, 0.0]"
2967,film,"[0.05047213901812316, 0.37710527732925664, 0.6483900807653545, 0.6594198026738782, 0.0, 0.0]"
2968,wide,"[0.7810413558724791, 0.6191611257809636, 0.0813258921778849, 0.0, 0.0, 0.0]"
2969,#poor,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2970,fastest,"[0.4998028485329703, 0.6768880635056926, 0.5103498204908004, 0.1776590071087031, 0.0, 0.0]"
2971,involved,"[0.40693237594325643, 0.01691992857648065, 0.1931675919432875, 0.25555914031572424, -0.8552751397357827, 0.0]"
2972,dsm,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2973,vieques,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2974,companies,"[0.39150222835233695, 0.5718836337847994, 0.7208849524052006, 0.0, 0.0, 0.0]"
2975,barbados,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2976,:flushed_face:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2977,:neutral_face:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2978,:eyes:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2979,mosaic,"[0.6062445491116175, 0.7952782825353975, 0.0, 0.0, 0.0, 0.0]"
2980,#getittogether,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2981,#brandmance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2982,inform,"[0.6952333844497475, 0.06911814763696086, 0.0007353041313051254, 0.4958591456849966, 0.5157483783611584, 0.0]"
2983,haiti,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2984,waiver,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2985,nantucket,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2986,#flyitforward,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2987,bottles,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2988,hub,"[0.507622073800395, 0.8615798455109, 0.0, 0.0, 0.0, 0.0]"
2989,bluemanity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2990,alaska,"[0.7756285458658526, 0.2533025725855805, 0.29351013791260966, 0.49808630226304207, 0.0, 0.0]"
2991,style,"[0.30388879007701164, 0.08433141439341915, 0.9444446137229553, 0.09254289503594058, 0.0, 0.0]"
2992,meaning,"[0.25467893782427287, 0.0861959966896429, 0.5607146011231376, 0.7831398501357849, 0.0, 0.0]"
2993,#jvmchat,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2994,sympathy,"[0.3591744844913832, 0.6169848222381965, 0.516204071511284, 0.4731350498253365, 0.0, 0.0]"
2995,unreliable,"[0.8133623164655829, 0.08184850697579657, -0.5759709750148647, 0.0, 0.0, 0.0]"
2996,#flydelta,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2997,merging,"[0.8954133206771815, -0.44523587586116975, 0.0, 0.0, 0.0, 0.0]"
2998,#neptune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2999,assult,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3000,ep,"[0.8897863754937121, 0.3324085730155415, 0.31270552692834575, 0.0, 0.0, 0.0]"
3001,#americanview,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3002,guests,"[0.6077039990900108, 0.7727094461873415, 0.18334656054276038, 0.0, 0.0, 0.0]"
3003,prime,"[0.0005853183580634915, 0.2022771499253607, 0.32022598685408526, 0.9231945807640233, 0.06519735739858923, 0.0]"
3004,:seat:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3005,impressive,"[0.7081909055189177, 0.5210828202208322, 0.47638045280111924, 0.0, 0.0, 0.0]"
3006,loads,"[0.07146679710699178, 0.9391548492939191, 0.3359771807117026, 0.0, 0.0, 0.0]"
3007,mary,"[0.8268455684182768, 0.5353240001795987, 0.17249527767092618, 0.0, 0.0, 0.0]"
3008,redirected,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3009,version,"[0.1368717687098496, 0.4863174586791217, 0.46451756561542806, -0.16842607097645487, 0.7075433118645593, 0.0]"
3010,#cheapflights,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3011,#farecompare,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3012,representatives,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3013,register,"[0.7524779426211693, 0.19571679144090573, 0.34981972459641003, 0.5225878334787186, 0.0, 0.0]"
3014,kisses,"[0.10157813472330246, 0.6779356494302811, 0.08390365222198565, 0.7232187185917478, 0.0, 0.0]"
3015,comfort,"[0.05029506425284774, 0.7938325115448, 0.2240843793999009, 0.5415329604798612, 0.15436513126077156, 0.0]"
3016,destroyed,"[0.15210145126174016, 0.013572055241797956, 0.3973223000311371, 0.03418462797685798, -0.9042385464846304, 0.0]"
3017,market,"[0.6971931327187519, 0.18994398880180316, 0.12310007512511514, 0.6782584656542339, 0.05152515968367799, 0.0]"
3018,playstation,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3019,pressure,"[0.9257280576353621, 0.36689804745977767, -0.09172451186494442, 0.0, 0.0, 0.0]"
3020,safari,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3021,clicking,"[0.8147498417191752, 0.5798126382018409, 0.0, 0.0, 0.0, 0.0]"
3022,todays,"[0.1712464577653789, 0.9512550780507065, 0.25649254801173965, 0.0, 0.0, 0.0]"
3023,hahaha,"[0.17572926684556325, 0.3542704873432476, 0.9154032896084734, -0.07515626351465299, 0.0, 0.0]"
3024,blasting,"[0.41262899385491425, 0.7727866296728969, 0.4822220841366415, 0.0, 0.0, 0.0]"
3025,iced,"[0.3379773783144789, 0.005030999492476126, 0.31467392090291385, 0.24254259672229173, 0.3504190124819474, 0.7778855370565451]"
3026,severely,"[0.22408721704134796, 0.31389410404592266, 0.2380668696085432, -0.8913919318676047, 0.0, 0.0]"
3027,girls,"[0.9291884863035924, 0.3696062187258742, 0.0, 0.0, 0.0, 0.0]"
3028,expectations,"[0.029169982791325443, 0.4506405309534159, 0.8855437225234399, 0.10901623487034291, 0.0, 0.0]"
3029,santa,"[0.4170829716068051, 0.12629934746020247, 0.07295015756393959, 0.28912754956602665, 0.5532224064998008, 0.6442971155970469]"
3030,exhausted,"[0.1848569452525317, 0.3291730792950135, 0.41137448874671867, 0.11357374801349122, -0.8217937864390829, 0.0]"
3031,boo,"[0.005283279944949562, 0.6302780774644853, 0.1329842947984233, -0.764876989690278, 0.0, 0.0]"
3032,refunding,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3033,financial,"[0.5172539648613819, 0.12261083277213244, 0.443953530509861, 0.7065815465736743, 0.14512994284946534, 0.0]"
3034,regulation,"[0.9490329129755419, 0.31517698216899914, 0.0, 0.0, 0.0, 0.0]"
3035,ordered,"[0.8884408123136964, 0.4501957076115164, 0.0894245372565346, 0.0, 0.0, 0.0]"
3036,consecutive,"[0.25904116949031336, 0.005369259756117467, 0.5577982649664458, 0.5890369548004876, -0.5241806988420628, 0.0]"
3037,sees,"[0.32952918906850365, 0.6948775149232025, 0.6391836612476955, 0.0, 0.0, 0.0]"
3038,increased,"[0.3669763076914434, 0.1914168385682392, 0.3100061614482295, 0.06376336540168677, 0.5631620030850648, 0.6413789479579904]"
3039,can't,"[0.20182050832383197, 0.18263922034264135, 0.15636919549883677, 0.08464785783003698, 0.058794817507562616, 0.052123065166278924]"
3040,temperature,"[0.11879671629762599, 0.30331913095742596, 0.294771634713222, 0.5034199952596146, -0.7440180352205435, 0.0]"
3041,section,"[0.0750519979144483, 0.14154690409509554, 0.5380618812628021, 0.8275391733821896, 0.0, 0.0]"
3042,chrome,"[0.7251860026065604, 0.3805618369676405, 0.5728507742551596, 0.03346550914892686, 0.0, 0.0]"
3043,:face_blowing_a_kiss:,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3044,tonite,"[0.8569559088269124, 0.4951792681880647, 0.1429127799861628, 0.0, 0.0, 0.0]"
3045,bound,"[0.13290169590230747, 0.5312812130636564, 0.5339203952892362, 0.29201429788561595, -0.5742247584321465, 0.0]"
3046,mentioned,"[0.8688427288140245, 0.4069353166665155, 0.28198574544916694, 0.0, 0.0, 0.0]"
3047,#dallas,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3048,mood,"[0.23989718512224292, 0.39559098410710114, 0.28111130546028323, 0.49127955927622674, 0.6823327212169816, 0.0]"
3049,embossed,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3050,patches,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3051,standards,"[0.5474430482356334, 0.8368429416195597, 0.0, 0.0, 0.0, 0.0]"
3052,cue,"[0.26032934733185736, 0.8059474887300572, 0.14920415730783548, 0.5060173135470093, 0.06604448622110679, 0.0]"
3053,exist,"[0.2296230685783832, 0.26822214248757714, 0.6403114066632087, 0.6821520586738735, 0.0, 0.0]"
3054,requirement,"[0.5780173407803391, 0.8160244811016552, 0.0, 0.0, 0.0, 0.0]"
3055,develop,"[0.5041062115008165, 0.3151093088457408, 0.6126409018360449, 0.5103471576453067, 0.10392283236097685, 0.0]"
3056,jack,"[0.5141003477599997, 0.041091265275446556, 0.8567452015337526, 0.0, 0.0, 0.0]"
3057,thurs,"[0.5354693076300999, 0.8263458660940182, 0.17442800857508156, 0.0, 0.0, 0.0]"
3058,cheese,"[0.09182134356541091, 0.4880994492395287, 0.7825545296150174, 0.3754146729909881, 0.0, 0.0]"
3059,richard,"[0.87352512438609, 0.48627407206971207, 0.022167180673381064, 0.0, 0.0, 0.0]"
3060,plate,"[0.1483745920093943, 0.06357598516771545, 0.40879936097173386, 0.5179621637012042, 0.7338537688116545, 0.0]"
3061,recieved,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3062,risk,"[0.17274356600362428, 0.39103277545605497, 0.5454545006849192, 0.19805324548146072, -0.6931863591851125, 0.0]"
3063,debacle,"[0.19611613513818402, -0.9805806756909201, 0.0, 0.0, 0.0, 0.0]"
3064,caring,"[0.10769137178447293, 0.3068069890333265, 0.44458799488749107, 0.7551113895839481, 0.3555563865914968, 0.0]"
3065,trusted,"[0.9736930407116835, 0.22786369274115606, 0.0, 0.0, 0.0, 0.0]"
3066,married,"[0.20648935569989305, 0.2248853160479664, 0.12811670254565338, 0.5483005612621149, 0.7679461866935258, 0.0]"
3067,touched,"[0.4093047192085931, 0.060520566560278224, 0.5216650936763616, 0.7461048437695809, 0.0, 0.0]"
3068,username,"[0.6320704415625189, 0.7749109348195844, 0.0, 0.0, 0.0, 0.0]"
3069,breaks,"[0.5208273549976488, 0.8536620328245559, 0.0, 0.0, 0.0, 0.0]"
3070,guitars,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3071,addition,"[0.6862043076742195, 0.24151930273180452, 0.5680431884131263, 0.3804338635013592, 0.05821585811586635, 0.0]"
3072,preboard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3073,active,"[0.10741696060523681, 0.01974941020957203, 0.4652895724244599, 0.03592821211022042, 0.8750865594798304, 0.06715540302973905]"
3074,brain,"[0.4000402597297631, 0.6058937698589933, 0.6876485513991873, 0.0, 0.0, 0.0]"
3075,handed,"[0.6247449250263599, 0.7808289048529184, 0.0, 0.0, 0.0, 0.0]"
3076,coincidence,"[0.48683376887329294, 0.1309431740532203, 0.33627623852683985, 0.4479786112854826, 0.6573280930300056, 0.0]"
3077,apps,"[0.002915565687790598, 0.41900815908108535, 0.9079777872284102, 0.0, 0.0, 0.0]"
3078,silly,"[0.4176668118626111, 0.33744566546406524, -0.8436141636601631, 0.0, 0.0, 0.0]"
3079,negligence,"[0.12674725572849682, -0.9919350448317142, 0.0, 0.0, 0.0, 0.0]"
3080,coats,"[0.949154812379402, 0.3148096919362906, 0.0, 0.0, 0.0, 0.0]"
3081,donate,"[0.1529440779819493, 0.44568594495314456, 0.31918490086955126, 0.5882172298860842, 0.5745377594236171, 0.0]"
3082,shocking,"[0.1806728913531699, 0.5501473485502045, 0.2986797376825005, -0.3208041626960191, -0.6874374914914694, 0.0]"
3083,ours,"[0.3894034790511469, 0.9206072927818327, 0.02910572073953865, 0.0, 0.0, 0.0]"
3084,july,"[0.8741035350381346, 0.4841579579573015, 0.0391673560564458, 0.0, 0.0, 0.0]"
3085,october,"[0.6573597104566975, 0.4603244370786993, 0.5393873037757254, 0.25503129263292124, 0.0, 0.0]"
3086,paste,"[0.07986766090201033, 0.8335348281641533, 0.529838951497144, 0.13457909368027457, 0.0, 0.0]"
3087,continually,"[0.6445895826663902, 0.5114033170282144, 0.5683053028527084, 0.0, 0.0, 0.0]"
3088,severe,"[0.9066663862150408, 0.045835635727428485, 0.16386961641606546, 0.30249802151146865, -0.23978501705177394, 0.0]"
3089,confident,"[0.4754998171187421, 0.4580501165499554, 0.021876067083485592, 0.5346839855469566, 0.5269957190881115, 0.0]"
3090,#lostluggage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3091,various,"[0.6003078346476115, 0.3665985013445598, 0.40926320058046145, -0.5811537448242552, 0.0, 0.0]"
3092,compliment,"[0.2889361728211795, 0.1436895214089277, 0.18922578787888258, 0.0006981659900755601, 0.533980706910184, 0.42718456552814726]"
3093,pays,"[0.7306014214512612, 0.5572166997888428, 0.3946278150990211, 0.0, 0.0, 0.0]"
