,words,sentiment_vector
90,or,"[0.6746801673391208, 0.6891841520067, 0.2642572164048917, 0.0, 0.0, 0.0]"
91,bag,"[0.642641682294108, 0.7640776785688042, 0.05654174821409151, 0.0, 0.0, 0.0]"
92,got,"[0.34611242174322854, 0.23057530160094747, 0.9094180676711177, 0.0, 0.0, 0.0]"
93,after,"[0.9420710232374452, 0.33541345705912456, 0.0, 0.0, 0.0, 0.0]"
94,minutes,"[0.5601702165160319, 0.46948626497159174, 0.6824895424337329, 0.0, 0.0, 0.0]"
95,any,"[0.8690785328064791, 0.49467413901975654, 0.0, 0.0, 0.0, 0.0]"
96,phone,"[0.3579973728260904, 0.42028602749524313, 0.8315310808103933, 0.05361037146514196, 0.029656801236035972, 0.0]"
97,like,"[0.3232571199616905, 0.9463111720750595, 0.0, 0.0, 0.0, 0.0]"
98,today,"[0.20684564431871352, 0.06319199996193335, 0.16747415274534988, 0.6993808922588732, 0.6603335719714671, 0.0]"
99,late,"[0.5724324534994715, 0.5039653776342153, -0.6438414824469773, -0.061710046240924334, 0.0, 0.0]"
100,),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
101,by,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
102,(,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
103,because,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
104,more,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
105,airline,"[0.7708549931866197, 0.6358078998583214, 0.03912663999128132, 0.0, 0.0, 0.0]"
106,again,"[0.8126296087938455, 0.1272367853965019, 0.5687213020043527, 0.0, 0.0, 0.0]"
107,way,"[0.06961031921076112, 0.9310988732755339, 0.33364376292373293, 0.12996588439470994, 0.0, 0.0]"
108,fly,"[0.580610019843662, 0.7935114441880194, 0.1795841689478149, -0.03132282016531655, 0.0, 0.0]"
109,guys,"[0.0026109808697066025, 0.9570231845924403, 0.2899996671229846, 0.0, 0.0, 0.0]"
110,should,"[0.9614949992871493, 0.2748224269338381, 0.0, 0.0, 0.0, 0.0]"
111,going,"[0.25896138759068005, -0.9658876744928002, 0.0, 0.0, 0.0, 0.0]"
112,waiting,"[0.7400222237404716, 0.6488777327593888, 0.1682543537614155, 0.05491146273385109, 0.0, 0.0]"
113,know,"[0.9910573672783496, 0.0, 0.13343648213028758, 0.0, 0.0, 0.0]"
114,could,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
115,does,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
116,trying,"[0.0045642619533541404, 0.7001345640885683, 0.08020181278462137, -0.709477574633189, 0.0, 0.0]"
117,airport,"[0.26308978444803804, 0.6241021701268509, 0.725463759521966, 0.12240335037201895, 0.0, 0.0]"
118,day,"[0.12067859045632842, 0.5037725624586251, 0.585080359865218, -0.07649172994065438, 0.6192575157961487, 0.0]"
119,great,"[0.5426646310089166, 0.5463866106454661, 0.6379473097045838, 0.0, 0.0, 0.0]"
120,only,"[0.13775215673618588, -0.9904667300391917, 0.0, 0.0, 0.0, 0.0]"
121,u,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
122,then,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
123,never,"[0.00512467953817573, 0.07665494893475286, 0.1279338426414079, 0.17008075706989614, 0.10248455874724512, 0.0]"
124,people,"[0.4225771246579897, 0.5068184536038669, 0.6593124478709104, 0.341663569840389, 0.11461557454709534, 0.0]"
125,wait,"[0.7886969420241603, 0.5818621630144692, 0.17498021506734804, 0.0851466225104506, -0.039058083720390185, 0.0]"
126,tomorrow,"[0.128722801720789, 0.5471008018316355, 0.24740530053495444, 0.5698228824179572, 0.546080262317209, 0.0]"
127,go,"[0.0424426325138404, 0.160114144091278, 0.5435077334126415, -0.017051223009024046, 0.8227215101854103, 0.0]"
128,change,"[0.7710476880023798, 0.16293005795305895, 0.6092956601581466, 0.0877385750627731, 0.0, 0.0]"
129,make,"[0.08510423099217537, 0.1189060224675527, 0.9781368806258613, 0.09009155479448722, 0.11726202370076115, 0.0]"
130,weather,"[0.835260598414924, 0.3900980083614499, 0.08887000985187997, -0.3771808557666999, 0.0, 0.0]"
131,flying,"[0.6301602127123896, 0.7764651352857228, 0.0, 0.0, 0.0, 0.0]"
132,good,"[0.3228153982932924, 0.22258422313912388, 0.6054779701363593, 0.4234472797542129, 0.5480285678526322, 0.0]"
133,off,"[0.5495566633343018, -0.8354564463722026, 0.0, 0.0, 0.0, 0.0]"
134,last,"[0.04004870983628187, 0.9273504017363712, -0.28222190920831774, 0.2424213835507345, 0.0, 0.0]"
135,really,"[0.20557137292832656, 0.9786421259236507, 0.0, 0.0, 0.0, 0.0]"
136,check,"[0.16141620377097002, 0.28593422295552634, 0.6798017595627224, 0.06608858805827271, 0.6171487870465394, 0.2029628898126286]"
137,even,"[0.34363356372194515, 0.04371648189921857, 0.9380857333389689, 0.0, 0.0, 0.0]"
138,delay,"[0.5296403830435089, 0.010200788969997487, 0.16613978501612275, -0.3436813199843324, -0.7574019611029126, 0.0]"
139,were,"[0.7628151366172353, 0.4235917769881869, 0.4885520175125867, 0.0, 0.0, 0.0]"
140,home,"[0.00981435767799003, 0.3607184910803413, 0.8923806775740529, 0.26123556135071807, 0.07210101493279819, 0.0]"
141,down,"[0.048413198599895325, 0.15535608345919305, 0.5497441510839999, -0.819330225173269, 0.0, 0.0]"
142,here,"[0.9964466434044671, 0.08422640232118928, 0.0, 0.0, 0.0, 0.0]"
143,minute,"[0.6817865563658394, 0.16220077754532938, 0.7044063429912931, 0.11255977645737159, 0.0, 0.0]"
144,#,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
145,want,"[0.0198397265596706, 0.35625429108520856, 0.14420466500929938, 0.8138237119735103, 0.43541387868627446, 0.0]"
146,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
147,deathmatch,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
148,seat,"[0.27098325692886926, 0.6327595552236505, 0.7237901975739687, 0.04807462566911968, 0.0, 0.0]"
149,through,"[0.40622689219402486, 0.9137722429896763, 0.0, 0.0, 0.0, 0.0]"
150,bags,"[0.6734296579092784, 0.7392513076405022, 0.0, 0.0, 0.0, 0.0]"
151,new,"[0.8587997440773008, 0.5024102249213028, 0.10023455226262445, 0.0, 0.0, 0.0]"
152,another,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
153,told,"[0.23331108907645448, 0.9724021471150496, 0.0, 0.0, 0.0, 0.0]"
154,see,"[0.46542374350762217, 0.08389793614453729, 0.8412918298588418, 0.24907537639915314, 0.08081701042738479, 0.0]"
155,love,"[0.192964491265867, 0.02879362239636388, 0.361626451054962, 0.58191438710928, 0.50917508872062, 0.4829889413007024]"
156,very,"[0.7885023060177911, -0.6150317986938771, 0.0, 0.0, 0.0, 0.0]"
157,first,"[0.32891217346948914, 0.23330075901026784, 0.24063618026598996, 0.8562796585471523, 0.21509745022704466, 0.0]"
158,take,"[0.15420816553738756, 0.9778415146365027, -0.07440098480929912, 0.12045873731029381, 0.0, 0.0]"
159,w,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
160,agent,"[0.5113659431388596, 0.08935881443231537, 0.10268968057540401, 0.26736704043675313, 0.37732626092035465, 0.7114172211102521]"
161,them,"[0.8480246601192367, 0.5299567678873937, 0.0, 0.0, 0.0, 0.0]"
162,luggage,"[0.7861285446752805, 0.2695914759439704, 0.5550883072702872, 0.034631177815436814, 0.0, 0.0]"
163,ticket,"[0.08140621697120806, 0.23521824258826934, 0.588108674218634, 0.7695281629030372, 0.0, 0.0]"
164,she,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
165,yes,"[0.2674518896095525, 0.5176526782392383, 0.8127147048356043, 0.0, 0.0, 0.0]"
166,than,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
167,ever,"[0.35718910948506116, 0.9340320872781989, 0.0, 0.0, 0.0, 0.0]"
168,getting,"[0.21335959788934045, 0.054050743665631944, 0.9754774211111661, 0.0, 0.0, 0.0]"
169,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
170,united,"[0.7483184588443451, 0.08304610233700058, 0.658120679692909, 0.0, 0.0, 0.0]"
171,someone,"[0.7739157293962386, 0.6332885943968105, 0.0, 0.0, 0.0, 0.0]"
172,number,"[0.20506155837826426, 0.25405847546003885, 0.4594142120448307, -0.8260403320017891, 0.0, 0.0]"
173,due,"[0.5586347188410803, 0.42329125824576885, 0.713268365762888, 0.0, 0.0, 0.0]"
174,lost,"[0.11403651331639085, 0.5329121544433651, 0.16964770766640663, -0.38618297272805124, -0.7246258870173147, 0.0]"
175,too,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
176,next,"[0.3286316653405271, 0.2986096329221421, -0.8960097743114275, 0.0, 0.0, 0.0]"
177,work,"[0.2508165876579582, 0.13542388935733643, 0.7057689384335365, -0.0304295369839216, -0.6478546583673631, 0.0]"
178,email,"[0.2827058464582693, 0.7065681313478277, 0.1249866431336329, 0.6037952776677132, -0.0268161226471334, 0.19982336553186503]"
